6.510000000000000;A2;C03;  - Action (1):
6.510000000000000;A2;C03;    · channel = 1
6.510000000000000;A2;C03;    · cca = -82.000000 dBm
6.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
6.510000000000000;A2;C03;    · max_bandwidth = 1
6.510000000000000;A2;C03;  - Performance:
6.510000000000000;A2;C03;    · Average throughput = 39.22 Mbps
6.510000000000000;A2;C03;    · Average delay = 0.0001 s
6.510000000000000;A2;C03;    · Maximum delay = 0.0002 s
6.510000000000000;A2;C03;    · Minimum delay = 0.0000 s
6.510000000000000;A2;C03;    · Associated reward = 0.893812
6.510000000000000;A2;F00; ComputeNewConfiguration()
6.510000000000000;A2;F00; SendNewConfigurationToAp()
6.510000000000000;A2;C03;  - Action (1):
6.510000000000000;A2;C03;    · channel = 1
6.510000000000000;A2;C03;    · cca = -82.000000 dBm
6.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
6.510000000000000;A2;C03;    · max_bandwidth = 1
6.510000000000000;A2;C00;  - Next request to be sent at 7.010000
7.010000000000000;A2;F00; RequestInformationToAp() (request #13)
7.010000000000000;A2;F00; InportReceivingInformationFromAp()
7.010000000000000;A2;C03;  - Action (1):
7.010000000000000;A2;C03;    · channel = 1
7.010000000000000;A2;C03;    · cca = -82.000000 dBm
7.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
7.010000000000000;A2;C03;    · max_bandwidth = 1
7.010000000000000;A2;C03;  - Performance:
7.010000000000000;A2;C03;    · Average throughput = 22.80 Mbps
7.010000000000000;A2;C03;    · Average delay = 0.0044 s
7.010000000000000;A2;C03;    · Maximum delay = 0.0229 s
7.010000000000000;A2;C03;    · Minimum delay = 0.0000 s
7.010000000000000;A2;C03;    · Associated reward = 0.519658
7.010000000000000;A2;F00; ComputeNewConfiguration()
7.010000000000000;A2;F00; SendNewConfigurationToAp()
7.010000000000000;A2;C03;  - Action (1):
7.010000000000000;A2;C03;    · channel = 1
7.010000000000000;A2;C03;    · cca = -82.000000 dBm
7.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
7.010000000000000;A2;C03;    · max_bandwidth = 1
7.010000000000000;A2;C00;  - Next request to be sent at 7.510000
7.510000000000000;A2;F00; RequestInformationToAp() (request #14)
7.510000000000000;A2;F00; InportReceivingInformationFromAp()
7.510000000000000;A2;C03;  - Action (1):
7.510000000000000;A2;C03;    · channel = 1
7.510000000000000;A2;C03;    · cca = -82.000000 dBm
7.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
7.510000000000000;A2;C03;    · max_bandwidth = 1
7.510000000000000;A2;C03;  - Performance:
7.510000000000000;A2;C03;    · Average throughput = 39.67 Mbps
7.510000000000000;A2;C03;    · Average delay = 0.0001 s
7.510000000000000;A2;C03;    · Maximum delay = 0.0002 s
7.510000000000000;A2;C03;    · Minimum delay = 0.0000 s
7.510000000000000;A2;C03;    · Associated reward = 0.904205
7.510000000000000;A2;F00; ComputeNewConfiguration()
7.510000000000000;A2;F00; SendNewConfigurationToAp()
7.510000000000000;A2;C03;  - Action (1):
7.510000000000000;A2;C03;    · channel = 1
7.510000000000000;A2;C03;    · cca = -82.000000 dBm
7.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
7.510000000000000;A2;C03;    · max_bandwidth = 1
7.510000000000000;A2;C00;  - Next request to be sent at 8.010000
8.010000000000000;A2;F00; RequestInformationToAp() (request #15)
8.010000000000000;A2;F00; InportReceivingInformationFromAp()
8.010000000000000;A2;C03;  - Action (1):
8.010000000000000;A2;C03;    · channel = 1
8.010000000000000;A2;C03;    · cca = -82.000000 dBm
8.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
8.010000000000000;A2;C03;    · max_bandwidth = 1
8.010000000000000;A2;C03;  - Performance:
8.010000000000000;A2;C03;    · Average throughput = 39.67 Mbps
8.010000000000000;A2;C03;    · Average delay = 0.0001 s
8.010000000000000;A2;C03;    · Maximum delay = 0.0002 s
8.010000000000000;A2;C03;    · Minimum delay = 0.0000 s
8.010000000000000;A2;C03;    · Associated reward = 0.904205
8.010000000000000;A2;F00; ComputeNewConfiguration()
8.010000000000000;A2;F00; SendNewConfigurationToAp()
8.010000000000000;A2;C03;  - Action (1):
8.010000000000000;A2;C03;    · channel = 1
8.010000000000000;A2;C03;    · cca = -82.000000 dBm
8.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
8.010000000000000;A2;C03;    · max_bandwidth = 1
8.010000000000000;A2;C00;  - Next request to be sent at 8.510000
8.510000000000000;A2;F00; RequestInformationToAp() (request #16)
8.510000000000000;A2;F00; InportReceivingInformationFromAp()
8.510000000000000;A2;C03;  - Action (1):
8.510000000000000;A2;C03;    · channel = 1
8.510000000000000;A2;C03;    · cca = -82.000000 dBm
8.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
8.510000000000000;A2;C03;    · max_bandwidth = 1
8.510000000000000;A2;C03;  - Performance:
8.510000000000000;A2;C03;    · Average throughput = 39.67 Mbps
8.510000000000000;A2;C03;    · Average delay = 0.0001 s
8.510000000000000;A2;C03;    · Maximum delay = 0.0002 s
8.510000000000000;A2;C03;    · Minimum delay = 0.0000 s
8.510000000000000;A2;C03;    · Associated reward = 0.904205
8.510000000000000;A2;F00; ComputeNewConfiguration()
8.510000000000000;A2;F00; SendNewConfigurationToAp()
8.510000000000000;A2;C03;  - Action (1):
8.510000000000000;A2;C03;    · channel = 1
8.510000000000000;A2;C03;    · cca = -82.000000 dBm
8.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
8.510000000000000;A2;C03;    · max_bandwidth = 1
8.510000000000000;A2;C00;  - Next request to be sent at 9.010000
9.010000000000000;A2;F00; RequestInformationToAp() (request #17)
9.010000000000000;A2;F00; InportReceivingInformationFromAp()
9.010000000000000;A2;C03;  - Action (1):
9.010000000000000;A2;C03;    · channel = 1
9.010000000000000;A2;C03;    · cca = -82.000000 dBm
9.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
9.010000000000000;A2;C03;    · max_bandwidth = 1
9.010000000000000;A2;C03;  - Performance:
9.010000000000000;A2;C03;    · Average throughput = 39.67 Mbps
9.010000000000000;A2;C03;    · Average delay = 0.0001 s
9.010000000000000;A2;C03;    · Maximum delay = 0.0002 s
9.010000000000000;A2;C03;    · Minimum delay = 0.0000 s
9.010000000000000;A2;C03;    · Associated reward = 0.904205
9.010000000000000;A2;F00; ComputeNewConfiguration()
9.010000000000000;A2;F00; SendNewConfigurationToAp()
9.010000000000000;A2;C03;  - Action (1):
9.010000000000000;A2;C03;    · channel = 1
9.010000000000000;A2;C03;    · cca = -82.000000 dBm
9.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
9.010000000000000;A2;C03;    · max_bandwidth = 1
9.010000000000000;A2;C00;  - Next request to be sent at 9.510000
9.510000000000000;A2;F00; RequestInformationToAp() (request #18)
9.510000000000000;A2;F00; InportReceivingInformationFromAp()
9.510000000000000;A2;C03;  - Action (1):
9.510000000000000;A2;C03;    · channel = 1
9.510000000000000;A2;C03;    · cca = -82.000000 dBm
9.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
9.510000000000000;A2;C03;    · max_bandwidth = 1
9.510000000000000;A2;C03;  - Performance:
9.510000000000000;A2;C03;    · Average throughput = 39.67 Mbps
9.510000000000000;A2;C03;    · Average delay = 0.0001 s
9.510000000000000;A2;C03;    · Maximum delay = 0.0002 s
9.510000000000000;A2;C03;    · Minimum delay = 0.0000 s
9.510000000000000;A2;C03;    · Associated reward = 0.904205
9.510000000000000;A2;F00; ComputeNewConfiguration()
9.510000000000000;A2;F00; SendNewConfigurationToAp()
9.510000000000000;A2;C03;  - Action (1):
9.510000000000000;A2;C03;    · channel = 1
9.510000000000000;A2;C03;    · cca = -82.000000 dBm
9.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
9.510000000000000;A2;C03;    · max_bandwidth = 1
9.510000000000000;A2;C00;  - Next request to be sent at 10.010000
10.010000000000000;A2;F00; RequestInformationToAp() (request #19)
10.010000000000000;A2;F00; InportReceivingInformationFromAp()
10.010000000000000;A2;C03;  - Action (1):
10.010000000000000;A2;C03;    · channel = 1
10.010000000000000;A2;C03;    · cca = -82.000000 dBm
10.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
10.010000000000000;A2;C03;    · max_bandwidth = 1
10.010000000000000;A2;C03;  - Performance:
10.010000000000000;A2;C03;    · Average throughput = 39.67 Mbps
10.010000000000000;A2;C03;    · Average delay = 0.0001 s
10.010000000000000;A2;C03;    · Maximum delay = 0.0002 s
10.010000000000000;A2;C03;    · Minimum delay = 0.0000 s
10.010000000000000;A2;C03;    · Associated reward = 0.904205
10.010000000000000;A2;F00; ComputeNewConfiguration()
10.010000000000000;A2;F00; SendNewConfigurationToAp()
10.010000000000000;A2;C03;  - Action (1):
10.010000000000000;A2;C03;    · channel = 1
10.010000000000000;A2;C03;    · cca = -82.000000 dBm
10.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
10.010000000000000;A2;C03;    · max_bandwidth = 1
10.010000000000000;A2;C00;  - Next request to be sent at 10.510000
